City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Hasaki,JP,79.29,scattered clouds,35.7333,140.8333,
19,Jamestown,US,79.02,scattered clouds,42.097,-79.2353,
20,Maumere,ID,77.31,broken clouds,-8.6199,122.2111,
26,Abeche,TD,76.01,overcast clouds,13.8292,20.8324,
38,Puerto Ayora,EC,75.16,scattered clouds,-0.7393,-90.3518,
47,Karaton,ID,78.96,clear sky,-6.3424,106.1045,
54,Ihtiman,BG,76.71,clear sky,42.4333,23.8167,
56,Labuhan,ID,75.09,overcast clouds,-6.8844,112.2051,
71,Bandarbeyla,SO,77.0,overcast clouds,9.4942,50.8122,
78,Tabou,CI,76.15,light rain,4.423,-7.3528,
79,Bubaque,GW,77.58,overcast clouds,11.2833,-15.8333,
82,Atuona,PF,77.27,few clouds,-9.8,-139.0333,
91,Takoradi,GH,76.05,scattered clouds,4.8845,-1.7554,
93,Puruliya,IN,76.62,moderate rain,23.3333,86.3667,
97,Guilin,CN,78.91,broken clouds,25.2819,110.2864,
100,Tubuala,PA,78.33,overcast clouds,9.5167,-79.0333,
101,Itarema,BR,78.78,broken clouds,-2.9248,-39.9167,
111,Boali,CF,78.67,overcast clouds,4.8005,18.1275,
113,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,
114,Vaini,TO,75.36,few clouds,-21.2,-175.2,
124,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,
125,Tezu,IN,75.88,overcast clouds,27.9167,96.1667,
147,Pasighat,IN,77.11,overcast clouds,28.0667,95.3333,
152,Thompson,CA,75.36,scattered clouds,55.7435,-97.8558,
171,Shwebo,MM,77.79,overcast clouds,22.5667,95.7,
173,Lagos,NG,79.12,scattered clouds,6.5833,3.75,
179,Mumford,GH,75.96,scattered clouds,5.2618,-0.759,
180,Dingle,PH,77.11,overcast clouds,10.9995,122.6711,
194,Loudi,CN,75.97,clear sky,27.7344,111.9944,
199,Khairagarh,IN,79.07,overcast clouds,26.95,77.8167,
205,Port Arthur,CN,79.02,light rain,38.8,121.2667,
206,Vila Do Maio,CV,77.79,overcast clouds,15.1333,-23.2167,
207,Belen,TR,77.14,clear sky,36.4891,36.2233,
215,Darfo,IT,75.96,clear sky,45.8779,10.1812,
219,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,
220,Tanggulangin,ID,75.16,haze,-7.4996,112.6999,
229,Georgetown,MY,77.9,thunderstorm with rain,5.4112,100.3354,
235,Faanui,PF,78.51,light rain,-16.4833,-151.75,
238,Salalah,OM,78.89,light intensity drizzle,17.0151,54.0924,
244,Meulaboh,ID,75.63,light rain,4.1363,96.1285,
246,Limbe,CM,76.05,light rain,4.0242,9.2149,
251,Sao Filipe,CV,75.87,overcast clouds,14.8961,-24.4956,
252,Amahai,ID,77.67,light rain,-3.3333,128.9167,
253,Port-Gentil,GA,76.96,few clouds,-0.7193,8.7815,
273,Thunder Bay,CA,75.29,few clouds,48.4001,-89.3168,
285,Sao Miguel Do Araguaia,BR,75.63,clear sky,-13.275,-50.1628,
286,Yumen,CN,76.28,clear sky,40.2833,97.2,
294,Flin Flon,CA,75.04,smoke,54.7682,-101.865,
303,Nagato,JP,78.75,scattered clouds,34.3833,131.2,
306,Tanabe,JP,78.93,clear sky,33.7333,135.3667,
307,Oum Hadjer,TD,75.83,moderate rain,13.2954,19.6966,
311,Harper,LR,76.28,broken clouds,4.375,-7.7169,
314,Soller,ES,77.85,clear sky,39.7662,2.7152,
325,Mitsamiouli,KM,76.08,clear sky,-11.3847,43.2844,
336,Amarante Do Maranhao,BR,79.39,scattered clouds,-5.5667,-46.7422,
351,Fort Nelson,CA,78.39,scattered clouds,58.8053,-122.7002,
352,Anloga,GH,77.22,broken clouds,5.7947,0.8973,
371,Hambantota,LK,79.75,scattered clouds,6.1241,81.1185,
383,Kaka,TM,79.05,scattered clouds,37.3482,59.6143,
388,Fare,PF,78.04,light rain,-16.7,-151.0167,
390,San Quintin,MX,76.23,clear sky,30.4833,-115.95,
395,Itacare,BR,76.89,clear sky,-14.2775,-38.9967,
398,Ambunti,PG,77.22,broken clouds,-4.2365,142.8448,
413,Zhanaozen,KZ,76.44,overcast clouds,43.3,52.8,
414,Edson,CA,78.94,clear sky,53.5835,-116.4356,
422,Biak,ID,77.02,overcast clouds,-0.9131,122.8766,
441,Cukai,MY,77.14,light rain,4.25,103.4167,
442,Areia Branca,BR,79.2,broken clouds,-4.9561,-37.1369,
446,Khor,RU,76.15,light rain,47.8861,134.9464,
448,Bintulu,MY,75.61,scattered clouds,3.1667,113.0333,
451,Chushan,CN,75.83,light rain,33.2955,113.6528,
457,Davila,PH,78.78,overcast clouds,18.4726,120.5763,
459,Erenhot,CN,76.57,clear sky,43.6475,111.9767,
465,Chaozhou,CN,78.66,overcast clouds,23.6651,116.6379,
483,Vaitape,PF,78.6,light rain,-16.5167,-151.75,
484,Tianmen,CN,78.42,light rain,30.6516,113.1603,
489,Iracoubo,GF,78.73,clear sky,5.4802,-53.2011,
499,Vengurla,IN,78.3,overcast clouds,15.8667,73.6333,
507,Wajima,JP,79.41,few clouds,37.4,136.9,
508,Beli Manastir,HR,76.35,clear sky,45.77,18.6036,
512,Cocobeach,GA,78.73,scattered clouds,1.0002,9.5823,
523,Doctor Arroyo,MX,76.96,overcast clouds,23.6667,-100.1833,
524,Biltine,TD,79.18,overcast clouds,14.5333,20.9167,
529,Keffi,NG,77.38,light rain,8.8486,7.8736,
531,Mackenzie,CA,75.42,clear sky,55.2999,-123.1698,
533,Seoul,KR,78.4,broken clouds,37.5683,126.9778,
534,Vanimo,PG,79.77,broken clouds,-2.6741,141.3028,
535,Pouebo,NC,75.38,clear sky,-20.4,164.5667,
559,Jega,NG,77.68,broken clouds,12.2175,4.3792,
563,Pakokku,MM,79.2,overcast clouds,21.3333,95.1,
574,Tevaitoa,PF,78.24,broken clouds,-16.7833,-151.5,
576,Labrea,BR,75.51,scattered clouds,-7.2586,-64.7981,
577,Korcula,HR,77.56,clear sky,42.9622,17.1369,
583,Mogadishu,SO,75.97,broken clouds,2.0371,45.3438,
584,Novyy Buh,UA,75.42,broken clouds,47.6931,32.5216,
587,Abu Samrah,SY,77.47,clear sky,35.3029,37.1841,
590,Bardiyah,LY,79.61,clear sky,31.7561,25.0865,
610,Rosetta,EG,78.62,clear sky,31.4044,30.4164,
612,Mlonggo,ID,76.89,overcast clouds,-6.5333,110.7,
624,La Roda,ES,79.9,clear sky,39.2167,-2.15,
630,Isangel,VU,78.91,broken clouds,-19.55,169.2667,
631,Kizukuri,JP,75.94,few clouds,40.8061,140.3861,
637,Chaiya,TH,79.14,overcast clouds,9.3862,99.1986,
643,Yamada,JP,77.81,light rain,39.4667,141.95,
646,Salinopolis,BR,78.26,clear sky,-0.6136,-47.3561,
652,Ancona,IT,77.49,clear sky,43.55,13.1667,
658,Bismarck,US,78.64,broken clouds,46.8083,-100.7837,
662,Sudak,UA,76.46,clear sky,44.85,34.9667,
665,Kamaishi,JP,76.91,broken clouds,39.2667,141.8833,
666,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,
667,Touros,BR,77.9,overcast clouds,-5.1989,-35.4608,
669,Shingu,JP,79.92,clear sky,33.7333,135.9833,
675,Changji,CN,77.79,clear sky,44.0167,87.3167,
